lead_code,wa_msgs_sent,wa_msgs_read,wa_msgs_failed,wa_unique_responses,bot_calls,bot_answered,bot_avg_duration,human_calls,human_answered,human_avg_duration,field_visits,met_customer,door_locked,shifted,sms_sent,sms_failed
LDSMFG_100000,3.0,2.0,1.0,0.0,2.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100002,3.0,0.0,0.0,0.0,2.0,0.0,214.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100003,2.0,0.0,0.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100004,3.0,2.0,0.0,0.0,3.0,2.0,114.0,1.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100005,3.0,2.0,1.0,0.0,1.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100006,1.0,0.0,0.0,0.0,1.0,0.0,200.0,1.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100007,0.0,0.0,0.0,0.0,1.0,1.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100008,3.0,1.0,0.0,1.0,2.0,0.0,184.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100009,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
LDSMFG_100010,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100011,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,247.0,1.0,0.0,0.0,1.0,0.0,0.0
LDSMFG_100012,2.0,1.0,0.0,0.0,1.0,0.0,213.0,1.0,0.0,276.0,1.0,1.0,0.0,0.0,0.0,0.0
LDSMFG_100013,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100014,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
LDSMFG_100015,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
LDSMFG_100016,3.0,2.0,0.0,0.0,3.0,2.0,101.33333333333333,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100017,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
LDSMFG_100018,1.0,0.0,0.0,0.0,2.0,1.0,148.0,2.0,1.0,184.5,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100019,2.0,0.0,0.0,0.0,1.0,0.0,92.0,1.0,1.0,165.0,1.0,1.0,0.0,0.0,0.0,0.0
LDSMFG_100020,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100021,3.0,2.0,0.0,1.0,1.0,0.0,147.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100022,5.0,2.0,0.0,0.0,2.0,1.0,52.5,3.0,1.0,117.0,1.0,0.0,1.0,0.0,0.0,0.0
LDSMFG_100023,2.0,1.0,0.0,0.0,1.0,0.0,193.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
LDSMFG_100024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,173.5,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100025,4.0,3.0,0.0,1.0,2.0,1.0,108.5,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100026,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100028,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100029,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100030,5.0,1.0,2.0,0.0,1.0,1.0,247.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
LDSMFG_100031,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100032,4.0,2.0,2.0,0.0,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100033,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,174.5,1.0,0.0,1.0,0.0,0.0,0.0
LDSMFG_100034,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,141.5,1.0,0.0,1.0,0.0,0.0,0.0
LDSMFG_100035,4.0,3.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100036,4.0,3.0,0.0,0.0,1.0,1.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100037,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100038,5.0,0.0,1.0,1.0,1.0,1.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100039,5.0,0.0,0.0,0.0,2.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100040,2.0,1.0,0.0,1.0,2.0,1.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100041,1.0,0.0,0.0,1.0,2.0,1.0,115.5,1.0,1.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0
LDSMFG_100042,3.0,2.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100043,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100044,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100045,3.0,1.0,0.0,1.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100046,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100047,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100048,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,178.5,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100049,2.0,2.0,0.0,0.0,1.0,1.0,208.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100050,4.0,4.0,0.0,0.0,1.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100051,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LDSMFG_100052,0.0,0.0,0.0,0.0,1.0,1.0,132.0,2.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100053,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
LDSMFG_100054,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100055,2.0,0.0,0.0,0.0,1.0,0.0,262.0,2.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100056,2.0,1.0,1.0,0.0,1.0,1.0,150.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100057,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100058,2.0,1.0,0.0,1.0,1.0,0.0,268.0,1.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100059,4.0,3.0,0.0,2.0,1.0,1.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDSMFG_100060,2.0,1.0,1.0,0.0,1.0,1.0,29.0,1.0,1.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
