id,lead_code,suggested_action,TARGET,total_due,dpd_bucket,state,wa_msgs_sent,wa_msgs_read,wa_msgs_failed,wa_unique_responses,bot_calls,bot_answered,bot_avg_duration,human_calls,human_answered,human_avg_duration,field_visits,met_customer,door_locked,shifted,sms_sent,sms_failed
1,LDSMFG_100000,ACTION_HUMAN_CALL,0.47,126958,60-90,Karnataka,3.0,2.0,1.0,0.0,2.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LDSMFG_100001,ACTION_FIELD,0.35,151867,30-60,UP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LDSMFG_100002,ACTION_HUMAN_CALL,0.09,136932,60-90,Delhi,3.0,0.0,0.0,0.0,2.0,0.0,214.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
4,LDSMFG_100003,ACTION_DIGITAL,0.4,370838,30-60,Tamil Nadu,2.0,0.0,0.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,LDSMFG_100004,ACTION_HUMAN_CALL,0.49,264178,60-90,Delhi,3.0,2.0,0.0,0.0,3.0,2.0,114.0,1.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
6,LDSMFG_100005,ACTION_DIGITAL,0.34,124879,30-60,Tamil Nadu,3.0,2.0,1.0,0.0,1.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LDSMFG_100006,ACTION_DIGITAL,0.59,115268,30-60,Tamil Nadu,1.0,0.0,0.0,0.0,1.0,0.0,200.0,1.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
8,LDSMFG_100007,ACTION_HUMAN_CALL,0.83,212892,60-90,Delhi,0.0,0.0,0.0,0.0,1.0,1.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,LDSMFG_100008,ACTION_DIGITAL,0.57,59886,30-60,Maharashtra,3.0,1.0,0.0,1.0,2.0,0.0,184.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
10,LDSMFG_100009,ACTION_BOT,0.38,142337,60-90,Karnataka,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,LDSMFG_100010,ACTION_HUMAN_CALL,0.27,480602,60-90,Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
12,LDSMFG_100011,ACTION_BOT,0.44,435410,90-180,Tamil Nadu,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,247.0,1.0,0.0,0.0,1.0,0.0,0.0
