id,lead_code,suggested_action,TARGET,total_due,dpd_bucket,state
1,LDSMFG_100000,ACTION_HUMAN_CALL,0.47,126958,60-90,Karnataka
2,LDSMFG_100001,ACTION_FIELD,0.35,151867,30-60,UP
3,LDSMFG_100002,ACTION_HUMAN_CALL,0.09,136932,60-90,Delhi
4,LDSMFG_100003,ACTION_DIGITAL,0.4,370838,30-60,Tamil Nadu
5,LDSMFG_100004,ACTION_HUMAN_CALL,0.49,264178,60-90,Delhi
6,LDSMFG_100005,ACTION_DIGITAL,0.34,124879,30-60,Tamil Nadu
7,LDSMFG_100006,ACTION_DIGITAL,0.59,115268,30-60,Tamil Nadu
8,LDSMFG_100007,ACTION_HUMAN_CALL,0.83,212892,60-90,Delhi
9,LDSMFG_100008,ACTION_DIGITAL,0.57,59886,30-60,Maharashtra
10,LDSMFG_100009,ACTION_BOT,0.38,142337,60-90,Karnataka
11,LDSMFG_100010,ACTION_HUMAN_CALL,0.27,480602,60-90,Delhi
12,LDSMFG_100011,ACTION_BOT,0.44,435410,90-180,Tamil Nadu
13,LDSMFG_100012,ACTION_FIELD,0.37,92498,30-60,Delhi
14,LDSMFG_100013,ACTION_BOT,0.5,379871,30-60,Tamil Nadu
15,LDSMFG_100014,ACTION_DIGITAL,0.79,393468,90-180,Tamil Nadu
16,LDSMFG_100015,ACTION_HUMAN_CALL,0.33,180203,30-60,Delhi
17,LDSMFG_100016,ACTION_FIELD,0.34,196335,90-180,UP
18,LDSMFG_100017,ACTION_HUMAN_CALL,0.53,283167,30-60,Tamil Nadu
19,LDSMFG_100018,ACTION_HUMAN_CALL,0.41,46090,60-90,Maharashtra
20,LDSMFG_100019,ACTION_HUMAN_CALL,0.39,334365,30-60,Karnataka
21,LDSMFG_100020,ACTION_BOT,0.44,69820,60-90,Karnataka
22,LDSMFG_100021,ACTION_FIELD,0.37,267913,90-180,Delhi
23,LDSMFG_100022,ACTION_DIGITAL,0.26,326879,60-90,Tamil Nadu
24,LDSMFG_100023,ACTION_DIGITAL,0.49,199027,60-90,Maharashtra
25,LDSMFG_100024,ACTION_HUMAN_CALL,0.43,332069,30-60,Delhi
26,LDSMFG_100025,ACTION_DIGITAL,0.66,257709,180+,UP
27,LDSMFG_100026,ACTION_FIELD,0.73,204041,60-90,Tamil Nadu
28,LDSMFG_100027,ACTION_BOT,0.18,272455,30-60,Tamil Nadu
29,LDSMFG_100028,ACTION_BOT,0.11,108355,30-60,Delhi
30,LDSMFG_100029,ACTION_FIELD,0.79,240796,30-60,UP
31,LDSMFG_100030,ACTION_DIGITAL,0.62,219176,30-60,Maharashtra
32,LDSMFG_100031,ACTION_DIGITAL,0.25,189779,180+,Delhi
33,LDSMFG_100032,ACTION_FIELD,0.36,352449,30-60,UP
34,LDSMFG_100033,ACTION_FIELD,0.43,426909,30-60,Tamil Nadu
35,LDSMFG_100034,ACTION_HUMAN_CALL,0.42,470148,60-90,Tamil Nadu
36,LDSMFG_100035,ACTION_HUMAN_CALL,0.39,263795,60-90,Tamil Nadu
37,LDSMFG_100036,ACTION_HUMAN_CALL,0.58,491232,30-60,UP
38,LDSMFG_100037,ACTION_DIGITAL,0.78,397752,30-60,Tamil Nadu
39,LDSMFG_100038,ACTION_HUMAN_CALL,0.86,161730,30-60,UP
40,LDSMFG_100039,ACTION_FIELD,0.74,351622,60-90,Tamil Nadu
41,LDSMFG_100040,ACTION_DIGITAL,0.36,389681,30-60,Karnataka
42,LDSMFG_100041,ACTION_DIGITAL,0.47,154503,180+,Tamil Nadu
43,LDSMFG_100042,ACTION_HUMAN_CALL,0.46,135523,60-90,Delhi
44,LDSMFG_100043,ACTION_FIELD,0.46,7747,60-90,UP
45,LDSMFG_100044,ACTION_BOT,0.45,128855,180+,Tamil Nadu
46,LDSMFG_100045,ACTION_BOT,0.53,457366,60-90,Karnataka
47,LDSMFG_100046,ACTION_HUMAN_CALL,0.13,70725,60-90,UP
48,LDSMFG_100047,ACTION_DIGITAL,0.27,134981,30-60,Karnataka
49,LDSMFG_100048,ACTION_HUMAN_CALL,0.69,89654,90-180,UP
50,LDSMFG_100049,ACTION_FIELD,0.6,433989,30-60,Karnataka
51,LDSMFG_100050,ACTION_HUMAN_CALL,0.17,386490,60-90,Karnataka
52,LDSMFG_100051,ACTION_DIGITAL,0.67,72435,60-90,Karnataka
53,LDSMFG_100052,ACTION_FIELD,0.39,324030,60-90,UP
54,LDSMFG_100053,ACTION_DIGITAL,0.44,333947,90-180,Tamil Nadu
55,LDSMFG_100054,ACTION_DIGITAL,0.48,36551,60-90,UP
56,LDSMFG_100055,ACTION_HUMAN_CALL,0.72,383360,30-60,Delhi
57,LDSMFG_100056,ACTION_FIELD,0.39,278538,60-90,Karnataka
58,LDSMFG_100057,ACTION_BOT,0.44,336236,180+,Karnataka
59,LDSMFG_100058,ACTION_FIELD,0.44,8890,60-90,UP
60,LDSMFG_100059,ACTION_DIGITAL,0.4,46606,30-60,Tamil Nadu
61,LDSMFG_100060,ACTION_DIGITAL,0.94,494492,180+,Tamil Nadu
62,LDSMFG_100061,ACTION_HUMAN_CALL,0.35,261840,30-60,Delhi
63,LDSMFG_100062,ACTION_DIGITAL,0.6,478254,180+,Tamil Nadu
64,LDSMFG_100063,ACTION_HUMAN_CALL,0.09,354457,30-60,UP
65,LDSMFG_100064,ACTION_HUMAN_CALL,0.54,146699,180+,Maharashtra
66,LDSMFG_100065,ACTION_HUMAN_CALL,0.22,275936,30-60,UP
67,LDSMFG_100066,ACTION_DIGITAL,0.73,244931,90-180,Maharashtra
